귀소일자,지역명,현장소방서거리,현장안전센터거리,최대풍속,온도,습도,전체인력수합계,,,,,,,,,,,,,,
20111102,강원도 횡성군,57,22,3.7,14,63,299,,,,,,,,,,,,,,
20160328,강원도 횡성군,8,8,6.4,16,23,299,,,,,,,,,,,,,,
20160430,강원도 영월군,27,15,12.7,22,39,298,,,,,,,,,,,,,,
20130419,강원도 홍천군,55,13,5.1,8,59,295,,,,,,,,,,,,,,
20110406,강원도 횡성군,13,2,6.7,13,41,294,,,,,,,,,,,,,,
20150326,강원도 동해시,38,22,8.8,11,19,291,,,,,,,,,,,,,,
20120419,강원도 인제군,30,30,7.8,17,57,289,,,,,,,,,,,,,,
20140506,강원도 인제군,9,9,7.8,18,23,288,,,,,,,,,,,,,,
20140427,강원도 춘천시,54,21,6.2,0,0,280,,,,,,,,,,,,,,
20151102,강원도 원주시,60,9,5,0,60,279,,,,,,,,,,,,,,
20170319,강원도 원주시,50,10,8.2,13,34,278,,,,,,,,,,,,,,
20150605,강원도 삼척시,13,6,6.9,27,27,275,,,,,,,,,,,,,,
20210117,강원도 홍천군,8,8,9.4,1,17,275,,,,,,,,,,,,,,
20210117,강원도 화천군,8,8,9.4,0,17,275,,,,,,,,,,,,,,
20220226,강원도 원주시,32,5,8.1,4,61,274,,,,,,,,,,,,,,
20160402,강원도 철원군,28,13,7.2,22,10,271,,,,,,,,,,,,,,
20140426,강원도 평창군,43,22,8.1,18,43,269,,,,,,,,,,,,,,
20190416,강원도 양구군,26,19,7.1,22,23,269,,,,,,,,,,,,,,
20130112,강원도 홍천군,12,8,7.9,5,49,268,,,,,,,,,,,,,,
20190413,강원도 원주시,37,13,7.6,10,48,267,,,,,,,,,,,,,,
20140425,강원도 화천군,43,10,10.2,0,0,264,,,,,,,,,,,,,,
20140327,강원도 철원군,48,27,8.9,17,32,263,,,,,,,,,,,,,,
20150315,강원도 평창군,10,6,6.6,12,56,263,,,,,,,,,,,,,,
20150309,강원도 양양군,6,6,8.1,8,23,261,,,,,,,,,,,,,,
20160317,강원도 영월군,8,6,7.8,18,21,260,,,,,,,,,,,,,,
20150413,강원도 영월군,46,11,7.2,12,0,258,,,,,,,,,,,,,,
20180209,강원도 영월군,34,33,12.2,0,44,252,,,,,,,,,,,,,,
20150522,강원도 삼척시,34,32,8.6,20,34,252,,,,,,,,,,,,,,
20130611,강원도 홍천군,51,11,3,17,88,249,,,,,,,,,,,,,,
20210507,강원도 홍천군,39,8,11.2,17,46,248,,,,,,,,,,,,,,
20210507,강원도 정선군,39,7,11.2,17,46,248,,,,,,,,,,,,,,
20160416,강원도 정선군,15,15,9.3,15,35,248,,,,,,,,,,,,,,
20130228,강원도 홍천군,37,2,9.7,10,41,242,,,,,,,,,,,,,,
20210220,강원도 원주시,22,18,7.9,14,55,241,,,,,,,,,,,,,,
20210220,강원도 양구군,22,17,9.2,13,55,241,,,,,,,,,,,,,,
20151024,강원도 홍천군,36,35,7.2,18,29,241,,,,,,,,,,,,,,
20170424,강원도 홍천군,13,5,10.1,21,37,239,,,,,,,,,,,,,,
20150603,강원도 고성군,40,15,6.9,26,24,237,,,,,,,,,,,,,,
20170312,강원도 양구군,26,13,6.6,13,35,236,,,,,,,,,,,,,,
20190529,강원도 영월군,8,8,8,25,21,234,,,,,,,,,,,,,,
20170504,강원도 화천군,52,24,8.4,17,37,234,,,,,,,,,,,,,,
20131206,강원도 춘천시,28,6,9.5,7,0,234,,,,,,,,,,,,,,
20180817,강원도 춘천시,10,6,10.3,29,34,232,,,,,,,,,,,,,,
20210211,강원도 평창군,4,4,5.3,8,65,231,,,,,,,,,,,,,,
20150325,강원도 홍천군,46,13,11.3,12,19,229,,,,,,,,,,,,,,
20150505,강원도 횡성군,32,30,8.6,15,46,229,,,,,,,,,,,,,,
20150317,강원도 춘천시,45,19,8.9,17,30,227,,,,,,,,,,,,,,
20150423,강원도 원주시,35,35,5.6,21,17,225,,,,,,,,,,,,,,
20160208,강원도 정선군,14,14,8.6,0,60,222,,,,,,,,,,,,,,
20190124,강원도 속초시,24,16,7.7,3,20,221,,,,,,,,,,,,,,
20111028,강원도 원주시,16,16,5.2,15,60,217,,,,,,,,,,,,,,
20150324,강원도 고성군,32,21,7.9,13,0,216,,,,,,,,,,,,,,
20110311,강원도 평창군,17,10,8.5,5,43,214,,,,,,,,,,,,,,
20191212,강원도 춘천시,19,19,5,5,45,214,,,,,,,,,,,,,,
20150412,강원도 삼척시,12,3,5.6,13,55,213,,,,,,,,,,,,,,
20111208,강원도 원주시,26,8,8.1,8,28,212,,,,,,,,,,,,,,
20150531,강원도 동해시,42,37,8.7,21,55,211,,,,,,,,,,,,,,
20110413,강원도 강릉시,27,9,9.5,21,15,209,,,,,,,,,,,,,,
20210216,강원도 강릉시,29,1,9.2,1,30,209,,,,,,,,,,,,,,
20210216,강원도 강릉시,28,1,9.2,0,30,209,,,,,,,,,,,,,,
20160512,강원도 양양군,25,15,5.6,19,40,207,,,,,,,,,,,,,,
20130327,강원도 양양군,3,3,11.5,17,14,206,,,,,,,,,,,,,,
20200415,강원도 삼척시,19,15,7.6,18,39,206,,,,,,,,,,,,,,
20110310,강원도 속초시,9,9,6.5,1,19,204,,,,,,,,,,,,,,
20190507,강원도 삼척시,31,2,8.7,21,19,202,,,,,,,,,,,,,,
20170319,강원도 춘천시,38,17,8.1,13,30,202,,,,,,,,,,,,,,
20140424,강원도 양양군,21,13,6,21,44,201,,,,,,,,,,,,,,
20220428,강원도 삼척시,25,13,7.1,21,19,199,,,,,,,,,,,,,,
20110417,강원도 춘천시,47,27,6.7,11,58,198,,,,,,,,,,,,,,
20180409,강원도 춘천시,40,6,10.2,13,45,198,,,,,,,,,,,,,,
20200326,강원도 강릉시,24,24,10.6,16,54,197,,,,,,,,,,,,,,
20210330,강원도 평창군,55,18,8.6,16,26,197,,,,,,,,,,,,,,
20210330,강원도 양구군,55,18,8.6,16,26,197,,,,,,,,,,,,,,
20190304,강원도 양양군,19,19,5.3,15,24,196,,,,,,,,,,,,,,
20120615,강원도 철원군,5,5,6.3,19,68,196,,,,,,,,,,,,,,
20200422,강원도 원주시,16,15,8.6,7,37,196,,,,,,,,,,,,,,
20150531,강원도 태백시,55,6,6.5,28,21,195,,,,,,,,,,,,,,
20160402,강원도 춘천시,12,12,7.2,24,15,193,,,,,,,,,,,,,,
20160424,강원도 홍천군,45,15,7.8,15,40,193,,,,,,,,,,,,,,
20200417,강원도 강릉시,18,18,9.5,12,64,192,,,,,,,,,,,,,,
20220224,강원도 태백시,13,13,6.4,2,29,191,,,,,,,,,,,,,,
20180420,강원도 춘천시,61,26,7.2,27,20,190,,,,,,,,,,,,,,
20150529,강원도 강릉시,62,39,5.6,27,37,188,,,,,,,,,,,,,,
20160205,강원도 고성군,31,11,5.8,3,26,185,,,,,,,,,,,,,,
20200331,강원도 춘천시,15,6,9.6,17,17,185,,,,,,,,,,,,,,
20220411,강원도 화천군,22,13,4.8,19,35,184,,,,,,,,,,,,,,
20221204,강원도 홍천군,14,6,8.3,-5,42,184,,,,,,,,,,,,,,
20110201,강원도 홍천군,7,6,8.5,1,550,184,,,,,,,,,,,,,,
20220423,강원도 강릉시,12,11,7.1,15,71,183,,,,,,,,,,,,,,
20170502,강원도 양양군,34,17,6.4,27,20,182,,,,,,,,,,,,,,
20160125,강원도 고성군,30,7,8,-5,25,182,,,,,,,,,,,,,,
20120619,강원도 삼척시,30,30,6.3,29,37,181,,,,,,,,,,,,,,
20130316,강원도 홍천군,15,9,7.3,13,31,181,,,,,,,,,,,,,,
20161124,강원도 평창군,13,13,6.9,0,58,180,,,,,,,,,,,,,,
20140115,강원도 춘천시,41,4,8.6,2,45,180,,,,,,,,,,,,,,
20150430,강원도 춘천시,51,6,5.6,15,20,179,,,,,,,,,,,,,,
20170507,강원도 강릉시,30,26,8.4,21,22,178,,,,,,,,,,,,,,
20150325,강원도 속초시,35,16,8.3,7,57,178,,,,,,,,,,,,,,
20210421,강원도 횡성군,56,7,7.9,24,29,177,,,,,,,,,,,,,,
20210421,강원도 양구군,56,7,8.6,23,29,177,,,,,,,,,,,,,,
20220313,강원도 삼척시,50,10,7.9,18,49,176,,,,,,,,,,,,,,
20181101,강원도 화천군,21,4,4.6,11,44,176,,,,,,,,,,,,,,
20170408,강원도 홍천군,48,23,7.2,24,33,176,,,,,,,,,,,,,,
20160507,강원도 평창군,37,20,8.8,20,30,175,,,,,,,,,,,,,,
20200319,강원도 춘천시,28,26,7.1,11,46,174,,,,,,,,,,,,,,
20110413,강원도 양구군,44,18,6.7,13,36,174,,,,,,,,,,,,,,
20110420,강원도 정선군,30,21,6.8,17,30,173,,,,,,,,,,,,,,
20220410,강원도 춘천시,27,14,11.3,20,25,173,,,,,,,,,,,,,,
20170330,강원도 홍천군,20,8,6.6,18,23,172,,,,,,,,,,,,,,
20220329,강원도 양구군,56,20,8.8,17,39,172,,,,,,,,,,,,,,
20151017,강원도 삼척시,45,32,7.2,19,15,172,,,,,,,,,,,,,,
20110211,강원도 정선군,37,37,7.9,-2,29,171,,,,,,,,,,,,,,
20190604,강원도 평창군,19,19,6.1,29,21,171,,,,,,,,,,,,,,
20170311,강원도 정선군,50,14,6.6,13,17,171,,,,,,,,,,,,,,
20130304,강원도 춘천시,16,6,8.5,5,38,170,,,,,,,,,,,,,,
20150604,강원도 인제군,32,32,7.3,0,0,168,,,,,,,,,,,,,,
20180216,강원도 양양군,5,5,9.2,5,20,168,,,,,,,,,,,,,,
20141222,강원도 태백시,33,2,9.1,0,0,167,,,,,,,,,,,,,,
20150611,강원도 강릉시,27,17,6.9,33,0,165,,,,,,,,,,,,,,
20210312,강원도 태백시,16,19,8.8,17,17,164,,,,,,,,,,,,,,
20210312,강원도 평창군,15,19,8.8,17,17,164,,,,,,,,,,,,,,
20141123,강원도 강릉시,27,11,8.9,12,61,164,,,,,,,,,,,,,,
20170502,강원도 강릉시,13,5,9.5,17,70,164,,,,,,,,,,,,,,
20180422,강원도 원주시,13,11,8.7,27,12,163,,,,,,,,,,,,,,
20190224,강원도 양양군,58,17,5.9,9,43,163,,,,,,,,,,,,,,
20180608,강원도 인제군,11,10,7.5,21,75,163,,,,,,,,,,,,,,
20190512,강원도 강릉시,34,13,5.5,24,28,162,,,,,,,,,,,,,,
20220503,강원도 강릉시,7,1,4.9,17,28,161,,,,,,,,,,,,,,
20220130,강원도 화천군,36,15,6.4,-15,86,160,,,,,,,,,,,,,,
20150424,강원도 삼척시,27,27,7.8,21,18,160,,,,,,,,,,,,,,
20110401,강원도 정선군,8,8,6.8,14,24,160,,,,,,,,,,,,,,
20150517,강원도 원주시,34,4,7.5,0,0,160,,,,,,,,,,,,,,
20110406,강원도 홍천군,18,17,10.6,17,13,160,,,,,,,,,,,,,,
20180220,강원도 횡성군,47,17,5,6,24,159,,,,,,,,,,,,,,
20170323,강원도 철원군,20,20,7.9,14,30,158,,,,,,,,,,,,,,
20180201,강원도 원주시,50,7,7.5,0,25,158,,,,,,,,,,,,,,
20160302,강원도 원주시,11,9,7.8,6,49,158,,,,,,,,,,,,,,
20170314,강원도 춘천시,43,29,4.2,11,36,157,,,,,,,,,,,,,,
20160204,강원도 춘천시,20,12,6.5,2,0,157,,,,,,,,,,,,,,
20190408,강원도 영월군,20,20,7.6,11,11,157,,,,,,,,,,,,,,
20150326,강원도 춘천시,35,11,8.2,13,20,157,,,,,,,,,,,,,,
20190120,강원도 홍천군,11,9,7.7,2,30,156,,,,,,,,,,,,,,
20140423,강원도 화천군,38,10,6,23,18,156,,,,,,,,,,,,,,
20201025,강원도 홍천군,27,21,11.6,20,20,156,,,,,,,,,,,,,,
20120430,강원도 원주시,24,19,8.8,19,56,155,,,,,,,,,,,,,,
20160221,강원도 강릉시,39,6,5.5,-1,30,155,,,,,,,,,,,,,,
20190127,강원도 양양군,21,3,4.6,-2,65,155,,,,,,,,,,,,,,
20200115,강원도 홍천군,2,2,8,5,23,155,,,,,,,,,,,,,,
20110417,강원도 홍천군,24,24,6.7,18,22,154,,,,,,,,,,,,,,
20191113,강원도 평창군,22,22,8.1,8,80,154,,,,,,,,,,,,,,
20170314,강원도 철원군,23,10,6.6,1,75,154,,,,,,,,,,,,,,
20130427,강원도 홍천군,36,5,8.1,16,54,154,,,,,,,,,,,,,,
20131228,강원도 횡성군,27,17,3.2,-4,38,153,,,,,,,,,,,,,,
20120429,강원도 강릉시,56,39,8.8,25,30,153,,,,,,,,,,,,,,
20181123,강원도 영월군,23,16,7.3,5,19,152,,,,,,,,,,,,,,
20220404,강원도 철원군,14,14,7.9,15,16,152,,,,,,,,,,,,,,
20210419,강원도 철원군,11,6,6.2,19,30,151,,,,,,,,,,,,,,
20210419,강원도 양구군,11,6,4.8,19,30,151,,,,,,,,,,,,,,
20220520,강원도 춘천시,37,1,4.9,20,36,151,,,,,,,,,,,,,,
20200325,강원도 원주시,38,13,9.6,18,27,150,,,,,,,,,,,,,,
20170503,강원도 양구군,40,16,8.4,26,29,150,,,,,,,,,,,,,,
20140424,강원도 정선군,46,20,6,23,24,150,,,,,,,,,,,,,,
20160406,강원도 홍천군,24,24,10.2,0,0,149,,,,,,,,,,,,,,
20130512,강원도 홍천군,10,10,6.3,25,28,149,,,,,,,,,,,,,,
20160402,강원도 평창군,33,39,7.1,23,20,148,,,,,,,,,,,,,,
20180325,강원도 고성군,7,2,5.8,8,62,147,,,,,,,,,,,,,,
20190404,강원도 고성군,17,17,6,12,24,146,,,,,,,,,,,,,,
20190122,강원도 춘천시,13,9,4.6,3,31,146,,,,,,,,,,,,,,
20150307,강원도 춘천시,6,6,8.1,12,26,146,,,,,,,,,,,,,,
20200408,강원도 홍천군,31,5,9.5,14,11,146,,,,,,,,,,,,,,
